Object,Components
Canned Soup,"Can, Soup, Label"
Packaged Rice,"Bag, Rice, Packaging"
Frozen Pizza,"Box, Pizza, Plastic Wrapper"
Fresh Oranges,"Oranges, Packaging"
Bagged Salad Mix,"Bag, Salad Mix, Label"
Bottled Soda,"Bottle, Soda, Label"
Packaged Pasta,"Box, Pasta, Packaging"
Fresh Bananas,"Bananas, Packaging"
Packaged Crackers,"Box, Crackers, Plastic Wrapper"
Jar of Pickles,"Jar, Pickles, Lid"
Packaged Chicken Breasts,"Package, Chicken, Plastic Wrapper"
Bottled Juice,"Bottle, Juice, Label"
Bagged Chips,"Bag, Chips, Plastic Wrapper"
Boxed Cereal,"Box, Cereal, Packaging"
Packaged Ground Beef,"Package, Ground Beef, Plastic Wrapper"
Fresh Strawberries,"Strawberries, Packaging"
Canned Beans,"Can, Beans, Label"
Packaged Frozen Vegetables,"Bag, Vegetables, Plastic Packaging"
Bottled Water,"Bottle, Water, Label"
Boxed Macaroni and Cheese,"Box, Macaroni and Cheese, Packaging"
Packaged Cookies,"Box, Cookies, Plastic Wrapper"
Fresh Apples,"Apples, Packaging"
Loaf of Bread,"Bread, Plastic Bag"
Packaged Bacon,"Package, Bacon, Plastic Wrapper"
Bottled Milk,"Bottle, Milk, Label"
Packaged Tortilla Chips,"Bag, Tortilla Chips, Plastic Wrapper"
Fresh Avocados,"Avocados, Packaging"
Canned Tomatoes,"Can, Tomatoes, Label"
Packaged Cheese,"Package, Cheese, Plastic Wrapper"
Bottled Tea,"Bottle, Tea, Label"
Packaged Hot Dogs,"Package, Hot Dogs, Plastic Wrapper"
Fresh Carrots,"Carrots, Packaging"
Boxed Pancake Mix,"Box, Pancake Mix, Packaging"
Packaged Sausages,"Package, Sausages, Plastic Wrapper"
Bottled Coffee,"Bottle, Coffee, Label"
Packaged Lettuce,"Bag, Lettuce, Label"
Fresh Peaches,"Peaches, Packaging"
Canned Corn,"Can, Corn, Label"
Packaged Yogurt,"Cup, Yogurt, Lid"
Bottled Lemonade,"Bottle, Lemonade, Label"
Packaged Hamburger Buns,"Package, Hamburger Buns, Plastic Wrapper"
Fresh Bell Peppers,"Bell Peppers, Packaging"
Boxed Brownie Mix,"Box, Brownie Mix, Packaging"
Packaged Deli Meat,"Package, Deli Meat, Plastic Wrapper"
Bottled Smoothie,"Bottle, Smoothie, Label"
Packaged Shredded Cheese,"Bag, Shredded Cheese, Packaging"
Fresh Pineapple,"Pineapple, Packaging"
Canned Peas,"Can, Peas, Label"
Packaged Hummus,"Container, Hummus, Lid"
Bottled Fruit Punch,"Bottle, Fruit Punch, Label"
Packaged English Muffins,"Package, English Muffins, Plastic Wrapper"
Fresh Grapes,"Grapes, Packaging"
Canned Chicken Noodle Soup,"Can, Chicken Noodle Soup, Label"
Packaged Shrimp,"Bag, Shrimp, Plastic Packaging"
Bottled Energy Drink,"Bottle, Energy Drink, Label"
Packaged Baby Carrots,"Bag, Baby Carrots, Packaging"
Fresh Blueberries,"Blueberries, Packaging"
Canned Pineapple,"Can, Pineapple, Label"
Packaged Tortillas,"Package, Tortillas, Plastic Wrapper"
Bottled Sports Drink,"Bottle, Sports Drink, Label"
Packaged Celery,"Bunch, Celery, Packaging"
Fresh Watermelon,"Watermelon, Packaging"
Canned Salmon,"Can, Salmon, Label"
Packaged Bagels,"Bag, Bagels, Plastic Wrapper"
Bottled Coconut Water,"Bottle, Coconut Water, Label"
Packaged Ice Cream,"Carton, Ice Cream, Lid"
Fresh Mangoes,"Mangoes, Packaging"
Canned Black Beans,"Can, Black Beans, Label"
Packaged Tortellini,"Package, Tortellini, Plastic Packaging"
Bottled Sparkling Water,"Bottle, Sparkling Water, Label"
Packaged Mushrooms,"Package, Mushrooms, Plastic Packaging"
Fresh Kiwi,"Kiwi, Packaging"
Canned Sardines,"Can, Sardines, Label"
Packaged Cabbage,"Head, Cabbage, Packaging"
Bottled Coconut Milk,"Bottle, Coconut Milk, Label"
Packaged Frozen Fruit,"Bag, Frozen Fruit, Plastic Packaging"
Fresh Cauliflower,"Cauliflower, Packaging"
Canned Green Beans,"Can, Green Beans, Label"
Packaged Frozen Fish Fillets,"Package, Fish Fillets, Plastic Packaging"
Bottled Kombucha,"Bottle, Kombucha, Label"
Packaged Spinach,"Bag, Spinach, Label"
Fresh Apricots,"Apricots, Packaging"
Canned Chili,"Can, Chili, Label"
Packaged Muffins,"Package, Muffins, Plastic Wrapper"
Bottled Almond Milk,"Bottle, Almond Milk, Label"
Packaged Frozen Dessert,"Carton, Frozen Dessert, Lid"
Fresh Plums,"Plums, Packaging"
Canned Tomato Sauce,"Can, Tomato Sauce, Label"
Packaged Pita Bread,"Package, Pita Bread, Plastic Wrapper"
Bottled Flavored Water,"Bottle, Flavored Water, Label"
Packaged Baby Spinach,"Bag, Baby Spinach, Label"
Fresh Nectarines,"Nectarines, Packaging"
Canned Vegetable Soup,"Can, Vegetable Soup, Label"
Packaged Croissants,"Package, Croissants, Plastic Wrapper"
Bottled Herbal Tea,"Bottle, Herbal Tea, Label"
Packaged Frozen Berries,"Bag, Frozen Berries, Plastic Packaging"
Fresh Papayas,"Papayas, Packaging"
Canned Mandarin Oranges,"Can, Mandarin Oranges, Label"
Packaged Pesto,"Jar, Pesto, Lid"
Bottled Flavored Milk,"Bottle, Flavored Milk, Label"
Packaged Coleslaw Mix,"Bag, Coleslaw Mix, Label"
Fresh Cranberries,"Cranberries, Packaging"
Canned Tuna,"Can, Tuna, Can Packaging"
Bottled Water,"Bottle, Water, Plastic Packaging"
Laptop Cleaner,"Keyboard Cleaner, Microfiber Cloth"
Smartphone Case,"Phone Case, Screen Protector"
Paperback Novel,"Book, Pages, Cover"
